jung_year,jung_author,jung_title,jung_erara_id,jung_url,match_status,match_score,bph_ubn,bph_author,bph_title,bph_year,bph_place,bph_printer,bph_publisher,bph_url
1481,Albertus,[De anima. De intellectu],1350065,https://www.e-rara.ch/content/titleinfo/1350065,jung_only,,,,,,,,,
1484,"Augustinus, Aurelius","Meditationes divi Augustini episcopi Hipponenis ... Soliloquia animae ad deum ... Manuale ... Enchiridion de fide, spe et caritate ... De triplici habitaculo ... Scala paradisi ... De duodecim abusionum gradibus ... De beata vita ... De assumptione beatae Mariae virginis ... De divinatione daemonum ... De honestate mulierum ... De cura agenda pro mortuis ... De vera et falsa poenitentia ... De cordis contritione ... De contemptu mundi ... De convenientia decem preceptorum ... De cognitione verae vitae ... Confessiones ... De doctrina christiana ... De fide ad Petrum ... De vita et moribus clericorum ... De vera religione ...",2870409,https://www.e-rara.ch/content/titleinfo/2870409,jung_only,,,,,,,,,
1489,Isidorus,Liber ethymologiarum Isidori Hyspalensis episcopi,1837195,https://www.e-rara.ch/content/titleinfo/1837195,jung_only,,,,,,,,,
1495,[s.n.],"In disem teütschen kalender vindet man gar hübsch nach einander die zwelff zeychen unnd die siben planeten, wie yegklicher regieren sol. Dar nach vindet man die guldin zal und wie man den sunteglichen buchstaben suchen soll und zu welicher adern man lassen soll",1607901,https://www.e-rara.ch/content/titleinfo/1607901,jung_only,,,,,,,,,
1497,Iamblichus,"Index eor um, quae hoc in libro habentur De mysteriis Aegyptiorum, Chaldaeorum, Assyriorum : Proclus in Platonicum Alcibiadem de anima, atque daemone. De sacrificio &amp; magia",1833657,https://www.e-rara.ch/content/titleinfo/1833657,jung_only,,,,,,,,,
1498,"Trithemius, Johannes",De triplici regione claustralium et spirituali exercitio monachorum ...,2581257,https://www.e-rara.ch/content/titleinfo/2581257,jung_only,,,,,,,,,
1501,Apuleius,[Commentarii a Philippo Beroaldo conditi in asinum aureum Lucii Apuleii],1388711,https://www.e-rara.ch/content/titleinfo/1388711,jung_only,,,,,,,,,
1502,Albertus,"Opera Dionysii veteris et nove translationis etiam novissime ipsius Marsilii Ficini cum commentariis Hugonis, Alberti, Thome, Ambrosii oratoris Linconiensis et Vercellensis. Veteris translationis. De celesti hierarchia cum commento Hugonis et Alberti. De ecclesiastica hierarchia. De divinis nominibus cum commento beati Thome. De mystica theologia. Undecim epistole Dionysii. Extractio Vercellensis super predictos quattuor libros et super epistolam ad Titum. Nove translationis. De celesti hierarchia cum scholiis sive commento Ambrosii oratoris. De ecclesiastica hierarchia cum commento Ambrosii. De divinis nominibus cum commento Ambrosii oratoris. De mystica theologia cum commento Ambrosii. ... Novissime translationis Marsilii. De mystica theologia cum commento Marsilii Ficini. De divinis nominibus cum commento Marsilii Ficini ...",2849222,https://www.e-rara.ch/content/titleinfo/2849222,jung_only,,,,,,,,,
1503,Petrus,Hexastichon Sebastiani Brant in memorabiles evangelistarum figuras : quisquis percupies facile evangelica dicta servare &amp; memori mente tenere cito ...,1606666,https://www.e-rara.ch/content/titleinfo/1606666,in_bph,16,6532,[Petrus von Rosenheim],Hexastichon Sebastiani Brant in memorabiles evangelistarum figuras,1502,Pforzheim,,"Anshelm, Thomas",https://bph.sourcelibrary.org/catalog/6532
1511,"Sprenger, Jakob",Malleus maleficarum,3331183,https://www.e-rara.ch/content/titleinfo/3331183,jung_only,,,,,,,,,
1513,Johannes,Iohannis Saresberiensis policraticus de nugis curialium et vestigiis philosophorum continens libros octo,1835136,https://www.e-rara.ch/content/titleinfo/1835136,jung_only,,,,,,,,,
1514,Albertus,"Alberti Magni philosophie naturalis isagoge: sive introductiones: emendate nuper et impresse summa diligentia. In libros phisicorum, de celo et mundo, de generatione, metheororum, de anima Aristotelis ...",1192211,https://www.e-rara.ch/content/titleinfo/1192211,jung_only,,,,,,,,,
1518,"Lullus, Raimundus","Opusculum Raymundinum de auditu kabbalisitico sive ad omnes scientias introductorium [quod videtur esse introductorium ad sapientiam kabbalam regulatum et ... positum, perfecteque correptum a Petro Maynardo ...]",2103342,https://www.e-rara.ch/content/titleinfo/2103342,jung_only,,,,,,,,,
1519,"Panteo, Giovanni Agostino",Ars transmutationis metallicae cum Leonis X. pontificis maximi ... decemvirorum Venetorum edicto,2034361,https://www.e-rara.ch/content/titleinfo/2034361,in_bph,10,1010,"Pantheo, Giovanni Agostino",Ars transmutationis metallicae,1518,Venice,,"Tacuinus de Tridino, Joannes",https://bph.sourcelibrary.org/catalog/1010
1522,"Erasmus, Desiderius","Arnobii Afri ... commentarii ... In omnes psalmos, sermone Latino, sed tum apud Afros vulgari",1684589,https://www.e-rara.ch/content/titleinfo/1684589,jung_only,,,,,,,,,
1522,Mechthild,"Opera nuper in lucem prodeuntia : Liber gratie spiritualis visionum &amp; revelationum beate Methildis virginis devotissime ad fidelium instructionem. Evangelium beati Nichodemi de passione Christi ac descensu eius ad inferos testimonio Charini &amp; Leutii resurrectorum. Epistola Lentuli ad Romanos de persona &amp; effigie &amp; moribus Christi, que sola comperta est in annalibus Romanorum. Visio mirabilis Ysaie prophete, que tam divinae trinitatis archana quam generis humani redemptionem manifestat adversus Hebraicam caliginem. Visio sancti Alberti episcopi Agrippinensis de octo regulis vite humane meritoriis a Christo sibi in missa revelatis. Preclarum Erithree Sibille vaticinium ab excidio Troiano usque ad seculi consumationem in orthodoxe fidei testimonium",2035372,https://www.e-rara.ch/content/titleinfo/2035372,jung_only,,,,,,,,,
1523,Johannes,Divi Ioannis Chrysostomi Psegmata quaedam,1684152,https://www.e-rara.ch/content/titleinfo/1684152,jung_only,,,,,,,,,
1528,"Achillini, Alessandro",Secreta secretorum Aristotelis,1349506,https://www.e-rara.ch/content/titleinfo/1349506,jung_only,,,,,,,,,
1529,Bernardus de Lutzemburgo,Catalogus haereticorum omnium pene qui ad haec usque tempora passim literarum monumentis proditi sunt ...,1605508,https://www.e-rara.ch/content/titleinfo/1605508,jung_only,,,,,,,,,
1533,"Agrippa von Nettesheim, Heinrich Cornelius",Henrici Cornelii Agrippae ... De occulta philosophia libri tres,1343192,https://www.e-rara.ch/content/titleinfo/1343192,jung_only,,,,,,,,,
1539,"Cornarius, Janus","Artemidori ... De somniorum interpretatione, libri quinque",1342698,https://www.e-rara.ch/content/titleinfo/1342698,jung_only,,,,,,,,,
1540,"Cyprianus, Thascius Caecilius","Divi Caecilii Cypriani episcopi Carthaginensis et martyris opera iam quartum accuratiori vigilantia a mendis repurgata, per Desiderium Erasmum Roterodamum : accessit liber eiusdem apprime pius ad Fortunatum de duplici martyrio, antehac nunquam excusus",2840942,https://www.e-rara.ch/content/titleinfo/2840942,jung_only,,,,,,,,,
1541,Ǧābir Ibn-Ḥaiyān,"In hoc vo lumine De alchemia continentur haec .... : De investigatione perfectionis metallorum, liber I. Summae perfectionis metallorum, sive perfecti magisterii, libri II. quae sequuntur, omnia nunc primum excusa sunt ... De inventione veritatis seu perfectionis metallorum, liber I.. De fornacibus construendis, liber I",1719033,https://www.e-rara.ch/content/titleinfo/1719033,jung_only,,,,,,,,,
1541,"Lullus, Raimundus",Raimundi Lulli ... de secretis naturae sive quinta essentia libri duo : his accesserunt Alberti Magni ... de mineralibus &amp; rebus metallicis libri quinque,2102930,https://www.e-rara.ch/content/titleinfo/2102930,jung_only,,,,,,,,,
1542,Aetios,"Aetii medici Graeci contractae ex veteribus medicinae tetrabiblos : hoc est quaternio, id est libri universales quatuor, singuli quatuor sermones complectentes, ut sint in summa quatuor sermonum quaterniones, id est sermones XVI",1530278,https://www.e-rara.ch/content/titleinfo/1530278,jung_only,,,,,,,,,
1543,Epiphanius,"D. Epiphanii Episcopi Constantiae Cypri, contra octoaginta haereses opus , panarium, sive arcula, aut capsula medica appellatum, continens libros tres, &amp; tomos sive sectiones ex toto septem : item, eiusdem D. Epiphanii epistola sive liber Ancoratus appellatus, docens de vera fide Christiana ; eiusdem D. Epiphanii Anacephaleosis, sive summa totius operis Panarii appellati, &amp; contra octoaginta haereses conscripti ; eiusdem D. Epiphanii libellus de mensuris ac ponderibus ...",1720269,https://www.e-rara.ch/content/titleinfo/1720269,jung_only,,,,,,,,,
1545,Ǧābir Ibn-Ḥaiyān,"Alchemiae Gebri Arabis philosophi solertissimi, libri, cum reliquis, ut versa pagella indicabit",1342369,https://www.e-rara.ch/content/titleinfo/1342369,jung_only,,,,,,,,,
1546,"Lacinius, Janus","Pretiosa margarita novella de thesauro, ac pretiosissimo philosophorum lapide : artis huius divinae typus, et methodus: collectanea ex Arnaldo, Rhaymundo, Rhasi, Alberto, et Michaele Scoto",1931373,https://www.e-rara.ch/content/titleinfo/1931373,in_bph,17,11617,"[Bonus, Petrus]","Pretiosa margarita novella de thesauro, ac pretiosissimo philosophorum lapide",1546,Venice,,"Manutius, sons of Aldus",https://bph.sourcelibrary.org/catalog/11617
1547,"Postel, Guillaume","De nativitate mediatoris ultima, nunc futura, et toti orbi terrarum in singulis ratione praeditis manifestanda, Opus : in quo totius naturae obscuritas, origo &amp; creatio, ita cum sua causa illustratur, exponiturque, ut vel pueris sint manifesta, quae in theosofiae &amp; filosofiae arcanis hactenus fuere ...",1835929,https://www.e-rara.ch/content/titleinfo/1835929,in_bph,13,22898,"Postel, Guillaume",De nativitate mediatoris ultima,1547,[Basel],"[Oporinus, Johannes]",,https://bph.sourcelibrary.org/catalog/22898
1548,"Bracesco, Giovanni","De alchemia dialogi II. quorum prior, genuinam librorum Gebri sententiam, de industria ab authore celatam, &amp; figurato sermone involutam retegit, &amp; certis argumentis probat. Alter, Raimundi Lullii Maioricani, mysteria in lucem producit ...",1683735,https://www.e-rara.ch/content/titleinfo/1683735,in_bph,11,241,"[Bracesco, Giovanni]|Geber|Lull, Ramón",De alchemia dialogi duo. Sententia. Lignum vitae,1548,Lyon,,"Beringen, Godefroy| Beringen, Marcellin",https://bph.sourcelibrary.org/catalog/241
1550,[s.n.],"De alchimia opuscula complura veterum philosophorum, quorum catalogum sequens pagella indicabit",1342014,https://www.e-rara.ch/content/titleinfo/1342014,in_bph,9,363,anonymous,De alchimia opuscula complura,1550,Frankfurt,,"Jacob, Cyriacus",https://bph.sourcelibrary.org/catalog/363
1550,[s.n.],"Rosarium philosophorum. Secunda pars alchimiae de lapide philosophico vero modo praeparando, continens exactam eius scientiae progressionem. Cum figuris rei perfectionem ostendentibus",3179372,https://www.e-rara.ch/content/titleinfo/3179372,in_bph,7,22827,,Rosarium philosophorum,1550,Frankfurt,"Jacob, Cyriacus",,https://bph.sourcelibrary.org/catalog/22827
1554,Hermes,"Hermou tou Trismegistou Poimandres. Asklepiou horoi pros Ammona Basilea = : Mercurii Trismegisti Poemander, seu de potestate ac sapientia divina. Aesculapii definitiones ad Ammonem regem ...",2034845,https://www.e-rara.ch/content/titleinfo/2034845,jung_only,,,,,,,,,
1554,Dioscorides,"Pedanii Dioscoridis ... de medica materia libri sex ... : his accessit, praeter pharmacorum simplicium catalogum, copiosus omnium ferme medelarum sive curationum index",3303197,https://www.e-rara.ch/content/titleinfo/3303197,jung_only,,,,,,,,,
1555,"Ryff, Walther Hermann",Troumbüchlin : darinn warhafftig auss natürlichen Ursachen auch der alten Philosophen und Weissagern der Heyden langwirigem Brauch und fleissiger Nachtrachtung erklärt und aussgelegt werden ...,1998096,https://www.e-rara.ch/content/titleinfo/1998096,jung_only,,,,,,,,,
1557,"Pico della Mirandola, Giovanni Francesco","Opera omnia Ioannis Pici, Mirandulae concordiaeque comitis, theologorum &amp; philosophorum ... principis: viri, sive linguarum, sive rerum, &amp; humanarum &amp; divinarum, cognitionem spectes, doctrina &amp; ingenio admirando ...",2094732,https://www.e-rara.ch/content/titleinfo/2094732,in_bph,7,10528,Dionysius Areopagita,Opera omnia quae extant,1557,Cologne,,"Birckmann, heirs of Arnold",https://bph.sourcelibrary.org/catalog/10528
1557,Origenes,"Origenis Adamantii, eximii scripturarum interpretis, opera, quae quidem extant omnia, per ... Erasmum Roterodamum partim versa, &amp; vigilanter recognita, partim ab aliis ... translata ... cum praefatione de vita, phrasi, docendi ratione, &amp; operibus illius: adiectis epistola Beati Rhenani nuncupatoria, quae pleraque de vita obituque ipsius Erasmi cognitu digna continet: tum indice copiosissimo",2843210,https://www.e-rara.ch/content/titleinfo/2843210,jung_only,,,,,,,,,
