<language>Italian</language>
<page-type>text</page-type>
<page-num>14</page-num>
<warning>Significant bleed-through from the reverse page is visible throughout the text and table.</warning>

## . Tauola de tutte le proportioni Arithmetiche & Geometriche insieme, che possono occorrer in questo giuoco.

| Arithmetica & Geometrica | Arithmetica sola | Geometrica sola |
|:---|:---|:---|
| 2 &nbsp;&nbsp; 3 &nbsp;&nbsp; 4 &nbsp;&nbsp; 8 | 2 &nbsp;&nbsp; 3 &nbsp;&nbsp; 4 | 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 8 |
| 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 8 | 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 6 | 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 8 |
| 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 | 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 6 | 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 |
| 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 5 &nbsp;&nbsp; 8 | 2 &nbsp;&nbsp; 5 &nbsp;&nbsp; 8 | 2 &nbsp;&nbsp; 4 &nbsp;&nbsp; 8 |
| 2 &nbsp;&nbsp; 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 16 | 2 &nbsp;&nbsp; 9 &nbsp;&nbsp; 16 | 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 16 |
| 3 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 &nbsp;&nbsp; 12 | 3 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 | 3 &nbsp;&nbsp; 6 &nbsp;&nbsp; 12 |
| 3 &nbsp;&nbsp; 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 | 3 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 | 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 |
| 3 &nbsp;&nbsp; 9 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 | 3 &nbsp;&nbsp; 9 &nbsp;&nbsp; 15 | 9 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 |
| 4 &nbsp;&nbsp; 5 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 | 4 &nbsp;&nbsp; 5 &nbsp;&nbsp; 6 | 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 |
| 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 8 &nbsp;&nbsp; 9 | 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 8 | 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 9 |
| 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 8 &nbsp;&nbsp; 16 | 4 &nbsp;&nbsp; 6 &nbsp;&nbsp; 8 | 4 &nbsp;&nbsp; 8 &nbsp;&nbsp; 16 |
| 4 &nbsp;&nbsp; 12 &nbsp;&nbsp; 20 &nbsp;&nbsp; 36 | 4 &nbsp;&nbsp; 12 &nbsp;&nbsp; 20 | 4 &nbsp;&nbsp; 12 &nbsp;&nbsp; 36 |
| 5 &nbsp;&nbsp; 9 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 | 5 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 | 9 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 |
| 5 &nbsp;&nbsp; 25 &nbsp;&nbsp; 45 &nbsp;&nbsp; 81 | 5 &nbsp;&nbsp; 25 &nbsp;&nbsp; 45 | 25 &nbsp;&nbsp; 45 &nbsp;&nbsp; 81 |
| 6 &nbsp;&nbsp; 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 16 | 6 &nbsp;&nbsp; 9 &nbsp;&nbsp; 12 | 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 16 |
| 7 &nbsp;&nbsp; 16 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 | 7 &nbsp;&nbsp; 16 &nbsp;&nbsp; 25 | 16 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 |
| 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 15 &nbsp;&nbsp; 16 | 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 15 | 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 16 |
| 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 | 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 15 | 9 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 |
| 9 &nbsp;&nbsp; 45 &nbsp;&nbsp; 81 &nbsp;&nbsp; 225 | 9 &nbsp;&nbsp; 45 &nbsp;&nbsp; 81 | 9 &nbsp;&nbsp; 45 &nbsp;&nbsp; 225 |
| 9 &nbsp;&nbsp; 25 &nbsp;&nbsp; 45 &nbsp;&nbsp; 81 | 9 &nbsp;&nbsp; 45 &nbsp;&nbsp; 81 | 25 &nbsp;&nbsp; 45 &nbsp;&nbsp; 81 |
| 9 &nbsp;&nbsp; 81 &nbsp;&nbsp; 153 &nbsp;&nbsp; 289 | 9 &nbsp;&nbsp; 81 &nbsp;&nbsp; 153 | 81 &nbsp;&nbsp; 153 &nbsp;&nbsp; 289 |
| 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 16 &nbsp;&nbsp; 20 | 12 &nbsp;&nbsp; 16 &nbsp;&nbsp; 20 | 9 &nbsp;&nbsp; 12 &nbsp;&nbsp; 16 |
| 9 &nbsp;&nbsp; 15 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 | 15 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 | 9 &nbsp;&nbsp; 15 &nbsp;&nbsp; 25 |
| 12 &nbsp;&nbsp; 16 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 | 12 &nbsp;&nbsp; 16 &nbsp;&nbsp; 20 | 16 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 |
| 15 &nbsp;&nbsp; 16 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 | 15 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 | 16 &nbsp;&nbsp; 20 &nbsp;&nbsp; 25 |
| 15 &nbsp;&nbsp; 20 &nbsp;&nbsp; 30 &nbsp;&nbsp; 45 | 15 &nbsp;&nbsp; 30 &nbsp;&nbsp; 45 | 20 &nbsp;&nbsp; 30 &nbsp;&nbsp; 45 |

<vocab>proportioni, Arithmetiche, Geometriche, sola, giuoco</vocab>
