<language>French</language>
<page-type>text</page-type>
<header>RYTHMOMACHIE, IEV</header>

<image-desc>A historical printed table from a treatise on the game of Rythmomachia. The table is enclosed in a rectangular frame with a decorative bracket across the top. It is divided into three main columns by double vertical lines, presenting numerical sequences for arithmetic and harmonic (musical) progressions.</image-desc>

| Arythmetiq & musique ensẽble. | Arythmetique seule. | Musique seule. |
| :--- | :--- | :--- |
| 3 4 5 15 | 3 4 5 | 3 5 15 |
| 3 4 5 6 | 4 5 6 | 3 4 6 |
| 3 5 7 15 | 3 5 7 | 3 5 15 |
| 3 4 6 9 | 3 6 9 | 3 4 6 |
| 3 5 9 15 | 3 9 15 | 3 5 15 |
| 3 9 15 45 | 3 9 15 | 9 15 45 |
| 3 4 6 8 | 4 6 8 | 3 4 6 |
| 4 6 12 15 | 6 12 15 | 4 6 12 |
| 4 6 12 20 | 4 12 20 | 4 6 12 |
| 5 7 9 45 | 5 7 9 | 5 9 45 |
| 9 12 15 20 | 9 12 15 | 12 15 20 |
| 9 12 15 45 | 9 12 15 | 9 15 45 |
| 9 15 30 45 | 15 30 45 | 9 15 45 |
| 9 15 45 81 | 9 45 81 | 9 15 45 |
| 8 15 120 225 | 15 120 225 | 8 15 120 |
| 15 20 25 30 | 20 25 30 | 15 20 30 |
| 12 15 20 25 | 15 20 25 | 12 15 20 |
| 15 20 30 45 | 15 30 45 | 15 20 30 |
| 15 30 36 45 | 15 36 45 | 30 36 45 |
| 15 30 45 90 | 15 30 45 | 30 45 90 |
| 30 36 42 45 | 30 36 42 | 30 36 45 |
| 72 81 90 120 | 72 81 90 | 72 90 120 |

->Exemple<-

<vocab>Rythmomachie, Arythmetique, Musique, progression arithmétique, proportion harmonique, Victoria Magna, Victoria Maxima, ensẽble</vocab>
