<language>Latin</language>
<page-type>index</page-type>

## Clau di us Se ue ri nus Bo e ti us Jor da nus.

| Numerorum proprietates. | Caput. | Liber. | Propositio. | Liber. |
|-------------------------|-------|-------|-------------|-------|
| 7 | 46 | 2 | 14 | 6 |
| 8 | 46 | 2 | 14.26 | 6 |
| 9 | 14 | 2 | 12 | 8 |
| 10 | 18 | 2 | 12 | 8 |
| 11 | 15 | 2 | 14 | 8 |
| 12 | 18 | 2 | 14 | 8 |
| 13 | 16 | 2 | 21 | 8 |
| 14 | 18 | 2 | 21 | 8 |
| 15 | 16 | 2 | 22 | 8 |
| 16 | 00 | 0 | 00 | 0 |
| **Parte altera longior.** | | | | |
| 1 | 26 | 2 | 27 | 7 |
| 2 | 28 | 2 | 38 | 9 |
| 3 | 27 | 1 | 38 | 9 |
| 4 | 33 | 2 | 38 | 9 |
| 5 | 33 | 2 | 38 | 9 |
| 6 | 33 | 2 | 27 | 7 |
| 7 | 33 | 2 | 38 | 9 |
| 8 | 33 | 2 | 32 | 6 |
| 9 | 33 | 2 | 31 | 6 |
| 10 | 33 | 2 | 32 | 6 |
| 11 | 33 | 2 | 31 | 6 |
| 12 | 34 | 2 | 11 | 8 |
| 13 | 35 | 2 | 10.5 | 1.8 |
| 14 | 37 | 2 | 38.5.2.22 | 9.8.1.10 |
| 15 | 37 | 2 | 20 | 10 |
| **Pyramis.** | | | | |
| 1 | 23 | 2 | 28 | 8 |
| 2 | 23 | 2 | 28 | 8 |
| 3 | 23 | 2 | 27 | 8 |
| 4 | 23 | 2 | 28 | 8 |
| **Cubus.** | | | | |
| 1 | 39 | 2 | 28 | 7 |
| 2 | 46 | 2 | 4 | 6 |
| 3 | 46 | 2 | 16 | 6 |
| 4 | 46 | 2 | 17.26 | 6 |
| **Medietas arithmetica.** | | | | |
| 1 | 43 | 2 | 1 | 10 |
| 2 | 43 | 2 | 0 | 0 |
| 3 | 43 | 2 | 2 | 1 |
| 4 | 43 | 2 | 3 | 1 |
| 5 | 43 | 2 | 0 | 0 |
| 6 | 43 | 2 | 3 | 10 |
| 7 | 43 | 2 | 20 | 1 |
| 8 | 43 | 2 | 16 | 2 |
| 9 | 50 | 2 | 5 | 10 |

<vocab>Boetius, Jordanus, numerorum proprietates, caput, liber, propositio, parte altera longior, pyramis, cubus, medietas arithmetica</vocab>
