<language>English</language>
<page-type>text</page-type>
<sig>C.i.</sig>
<meta>catchword: ¶ For</meta>
<vocab>Philosophers game, Rythmomachia, Multiplication, Diuision, even, odd, spaces</vocab>

# The Philosophers game.

## ¶ A table to take the men by
## Multiplication and Di-
## uision.

| eue against od | | | eue. | spaces. | od | eue. | spaces. | od |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | spaces. | | 2 | 8 | 16 | 3 | 5 | 15 |
| 6 | 2 | 12 | 8 | 8 | 64 | 5 | 5 | 25 |
| 8 | 2 | 16 | 4 | 9 | 36 | 9 | 5 | 45 |
| 15 | 2 | 30 | 9 | 9 | 81 | 12 | 6 | 72 |
| 45 | 2 | 90 | 25 | 9 | 225 | 7 | 7 | 49 |
| 4 | 3 | 12 | 9 | 10 | 90 | 5 | 9 | 45 |
| 4 | 4 | 16 | | 21. | | 9 | 9 | 81 |
| 9 | 4 | 36 | --- | --- | --- | 3 | 12 | 36 |
| 16 | 4 | 64 | **od against eue** | | | 3 | 14 | 42 |
| 6 | 5 | 30 | | **spaces.** | | --- | --- | --- |
| 20 | 5 | 100 | 3 | 2 | 6 | | 17. | |
| 2 | 6 | 12 | 36 | 2 | 72 | | | |
| 15 | 6 | 90 | 3 | 3 | 9 | | | |
| 20 | 6 | 120 | 5 | 3 | 15 | | | |
| 4 | 7 | 28 | 12 | 3 | 36 | | | |
| 8 | 7 | 56 | 5 | 4 | 20 | | | |
| | **spaces.** | | 9 | 4 | 36 | | | |
| | | | 16 | 4 | 64 | | | |

<vocab>Philosophers game, Rythmomachia, multiplication, diuision, even, odd, spaces</vocab>
