<language>Latin</language>
<page-type>text</page-type>
<header>E</header>

### **Di uus Se ue ri nus Bo e ti us &nbsp;&nbsp;&nbsp;&nbsp; Jor da nus.**

| Numerorum proprietates. | Caput. | Liber. | Propositio. | Liber. |
| :--- | :---: | :---: | :---: | :---: |
| **Equalitas/inequalitas.** | | | | |
| 1 | 32 | 1 | 70 | 9 |
| 2 | 32 | 1 | 70 | 9 |
| 3 | 1 | 2 | 75 | 9 |
| **Multiplex.** | | | | |
| 1 | 26.27. | 1 | 38.70 | 9 |
| 2 | 23 | 1 | 37 | 9 |
| 3 | 23 | 1 | 52 | 9 |
| **Species multiplicis.** | | | | |
| 1 | 23 | 1 | 38 | 9 |
| 2 | 23 | 1 | 38 | 9 |
| 3 | 23 | 1 | 38 | 9 |
| **Superparticularis.** | | | | |
| 1 | 24 | 1 | 52 | 9 |
| 2 | 24 | 1 | 37 | 9 |
| **Species superparticularis.** | | | | |
| 1 | 24 | 1 | 38 | 9 |
| 2 | 24 | 1 | 38 | 9 |
| 3 | 24 | 1 | 38 | 9 |
| **Superpartiens.** | | | | |
| 1 | 28 | 1 | 52 | 9 |
| 2 | 28 | 1 | 42 | 9 |
| **Species superpartientis.** | | | | |
| 1 | 28 | 1 | 7 | 2 |
| 2 | 28 | 1 | 7 | 2 |
| **Multiplex superparticularis** | | | | |
| 1 | 29 | 1 | 43 | 9 |
| 2 | 29 | 1 | 7 | 2 |
| 3 | 29 | 1 | 7 | 2 |
| 4 | 29 | 1 | 7 | 2 |
| **Multiplices suppartientes.** | | | | |
| 1 | 31 | 1 | 7 | 2 |
| 2 | 31 | 1 | 7 | 2 |
| 3 | 31 | 1 | 7 | 2 |
| **Numerus planus.** | | | | |
| 1 | 6 | 2 | 0 | 0 |
| 2 | 19 | 2 | 0 | 0 |
| **Numerus solidus.** | | | | |
| 1 | 21 | 2 | 0 | 0 |
| **Species numeri plani.** | | | | |
| 1 | 9 | 2 | 1 | 8 |
| 2 | 27 | 1 | 38 | 9 |
| 3 | 12 | 2 | 26 | 7 |
| 4 | 18 | 2 | 5 | 8 |
| 5 | 38 | 2 | 10 | 6 |
| 6 | 46 | 2 | 4 | 6 |

<vocab>Boetius, Jordanus, numerus, multiplex, superparticularis, superpartiens, planus, solidus, caput, liber, propositio</vocab>
