<language>English</language>
<page-type>text</page-type>
<sig>C.v.   C.vi</sig>
<warning>Heavy bleed-through from the reverse side of the page is visible throughout.</warning>
<header>The Philosophers game.</header>

## Atable for Geometricall proportion.

| | | | | | |
|---|---|---|---|---|---|
| 2 | 4 | 8 | 16 | 36 | 81 |
| 2 | 12 | 72 | 20 | 30 | 45 |
| 3 | 6 | 12 | 25 | 30 | 36 |
| 4 | 6 | 9 | 25 | 45 | 81 |
| 4 | 8 | 16 | 36 | 42 | 49 |
| 4 | 12 | 36 | 36 | 66 | 121 |
| 4 | 16 | 64 | 36 | 90 | 225 |
| 4 | 20 | 100 | 49 | 56 | 64 |
| 5 | 15 | 45 | 49 | 91 | 169 |
| 9 | 12 | 16 | 64 | 72 | 81 |
| 9 | 15 | 25 | 64 | 120 | 225 |
| 9 | 45 | 225 | 81 | 90 | 100 |
| 16 | 20 | 25 | 81 | 153 | 289 |
| 16 | 28 | 49 | | 27 | |

<vocab>Philosophers game, Geometricall proportion, Rithmomachia, table, numbers</vocab>
