<language>English</language>
<page-type>text</page-type>
<page-num>85</page-num>

| Arithmeticall and musicall propor-tion. | | | | Geometricall and musicall proportion together. | | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 3 | 4 | 5 | 6 | 2 | 3 | 6 | 12 |
| 3 | 4 | 5 | 15 | 3 | 4 | 6 | 9 |
| 3 | 4 | 6 | 9 | 3 | 4 | 6 | 12 |
| 3 | 5 | 7 | 25 | 3 | 6 | 8 | 12 |
| 3 | 5 | 9 | 15 | 4 | 6 | 12 | 36 |
| 3 | 9 | 15 | 45 | 4 | 7 | 28 | 49 |
| 3 | 4 | 6 | 8 | 8 | 9 | 15 | 45 |
| 4 | 5 | 6 | 12 | 5 | 9 | 45 | 225 |
| 4 | 6 | 12 | 15 | 5 | 9 | 45 | 81 |
| 4 | 6 | 12 | 20 | 9 | 12 | 16 | 72 |
| 4 | 12 | 15 | 20 | 9 | 15 | 25 | 45 |
| 5 | 7 | 9 | 45 | 9 | 15 | 45 | 225 |
| 6 | 7 | 8 | 12 | 9 | 25 | 45 | 225 |
| 8 | 15 | 120 | 225 | 15 | 20 | 30 | 45 |
| 9 | 12 | 15 | 45 | 20 | 30 | 36 | 45 |
| 9 | 12 | 15 | 20 | 25 | 45 | 81 | 225 |
| 9 | 15 | 30 | 45 | | | | |
| 9 | 15 | 45 | 81 | | | | |
| 12 | 15 | 20 | 25 | | | | |
| 15 | 20 | 25 | 30 | | | | |
| 15 | 20 | 30 | 45 | | | | |
| 15 | 30 | 36 | 45 | | | | |
| 15 | 30 | 45 | 90 | | | | |
| 30 | 36 | 42 | 45 | | | | |
| 72 | 81 | 90 | 120 | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- |
| | **25.** | | | | **16.** | | |

<vocab>Arithmeticall, Geometricall, musicall, proportion</vocab>
