<language>English</language>
<page-type>text</page-type>
<header>The Philosophers game. ¶ For Diuision.</header>

| euẽ against od | spaces. | | od against euẽ | spaces. | | ¶ To take by cossical signes |
|:---|:---:|:---|:---|:---:|:---|:---|
| 5 | 2 | 3 | 12 | 2 | 6 | 2 16. ꝙ |
| 72 | 2 | 36 | 16 | 2 | 8 | 2 64. ꝙ |
| 15 | 3 | 5 | 30 | 2 | 15 | 3 81. ꝙ |
| 36 | 3 | 12 | 90 | 2 | 45 | 3 9. ꝙ |
| 9 | 3 | 3 | 12 | 3 | 4 | 4 16. ꝙ |
| 20 | 4 | 5 | 16 | 4 | 4 | 4 64. ꝙ |
| 36 | 4 | 9 | 36 | 4 | 9 | 5 25. ꝙ |
| 64 | 4 | 16 | 64 | 4 | 16 | 6 36. ꝙ |
| 15 | 5 | 3 | 100 | 4 | 25 | 7 49. ꝙ |
| 25 | 5 | 5 | 22 | 5 | 4 | 8 64. ꝙ |
| 45 | 5 | 9 | 30 | 5 | 6 | 9 81. ꝙ |
| 42 | 6 | 7 | 100 | 5 | 20 | 15 225. ꝙ |
| 72 | 6 | 12 | 12 | 6 | 2 | |
| 49 | 7 | 7 | 36 | 6 | 6 | |
| 72 | 8 | 9 | 90 | 6 | 15 | |
| 45 | 9 | 5 | 120 | 6 | 20 | |
| 81 | 9 | 9 | 28 | 7 | 4 | |
| 36 | 12 | 3 | 56 | 7 | 8 | |
| 91 | 13 | 7 | 16 | 8 | 2 | |
| 42 | 14 | 3 | 64 | 8 | 8 | |
| --- | --- | --- | 120 | 8 | 15 | |
| | **20.** | | 36 | 9 | 4 | |
| | | | 81 | 9 | 9 | |
| | | | 225 | 9 | 25 | |
| | | | 90 | 10 | 9 | |
| | | | 66 | 11 | 6 | |
| | | | 28 | 14 | 2 | |
| | | | --- | --- | --- | |
| | | | | **27.** | | |

<sig>D.</sig>

<vocab>Philosophers game, Diuision, cossical signes, Rithmomachia, euẽ, od, spaces</vocab>
