<page-num>85</page-num>

| Arithmetical and musical proportion. | | | | Geometrical and musical proportion together. | | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 3 | 4 | 5 | 6 | 2 | 3 | 6 | 12 |
| 3 | 4 | 5 | 15 | 3 | 4 | 6 | 9 |
| 3 | 4 | 6 | 9 | 3 | 4 | 6 | 12 |
| 3 | 5 | 7 | 25 | 3 | 6 | 8 | 12 |
| 3 | 5 | 9 | 15 | 4 | 6 | 12 | 36 |
| 3 | 9 | 15 | 45 | 4 | 7 | 28 | 49 |
| 3 | 4 | 6 | 8 | 8 | 9 | 15 | 45 |
| 4 | 5 | 6 | 12 | 5 | 9 | 45 | 225 |
| 4 | 6 | 12 | 15 | 5 | 9 | 45 | 81 |
| 4 | 6 | 12 | 20 | 9 | 12 | 16 | 72 |
| 4 | 12 | 15 | 20 | 9 | 15 | 25 | 45 |
| 5 | 7 | 9 | 45 | 9 | 15 | 45 | 225 |
| 6 | 7 | 8 | 12 | 9 | 25 | 45 | 225 |
| 8 | 15 | 120 | 225 | 15 | 20 | 30 | 45 |
| 9 | 12 | 15 | 45 | 20 | 30 | 36 | 45 |
| 9 | 12 | 15 | 20 | 25 | 45 | 81 | 225 |
| 9 | 15 | 30 | 45 | | | | |
| 9 | 15 | 45 | 81 | | | | |
| 12 | 15 | 20 | 25 | | | | |
| 15 | 20 | 25 | 30 | | | | |
| 15 | 20 | 30 | 45 | | | | |
| 15 | 30 | 36 | 45 | | | | |
| 15 | 30 | 45 | 90 | | | | |
| 30 | 36 | 42 | 45 | | | | |
| 72 | 81 | 90 | 120 | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- |
| | **25.** | | | | **16.** | | |

<summary>This page continues the technical tables for the 16th-century board game Rythmomachia (The Philosophers' Game). It specifically charts sets of four numbers that satisfy combinations of mathematical proportions: the left column lists 25 sets exhibiting both Arithmetical and Musical (Harmonic) proportions, while the right column lists 16 sets exhibiting Geometrical and Musical proportions together. These data sets provide players with the necessary numerical combinations to achieve the game's highest victory conditions, known as "Triumphs."</summary>

<keywords>Rythmomachia, Arithmetical proportion, Geometrical proportion, Musical proportion, Harmonic proportion, number theory, mathematical games, Renaissance mathematics, mathematical tables</keywords>
