book_id,mongo_id,slug,title,author,normalized_author,year,year_bucket,language,script_hint,text_role,work_id,work_slug,work_title,provider,source_url,pages_count,pages_ocr,pages_translated,pages_blank,ocr_pct,translation_pct,quality_score,scan_score,scan_median,dominant_scan_class,has_microfilm_pages,has_blank_pages,visible,hidden,is_first_translation,needs_splitting,split_completed,pipeline_status,n_collections,collections,subject_keywords,categories,tenant_id,created_at,n_ocr_revisions,n_revised_pages,revised_page_pct,revision_sources,revision_models,revision_first,revision_last,has_text_move_repair,has_undefined_key_window
023f2b73-5a9f-4ada-92c2-258a408d89c2,685e8a1aff08bb8927bcc51a,history-of-the-holy-barlaam-the-hermit-and-josaphat-the-anonymous,The History of Barlaam and Josaphat,"anonymous, Konstanz",anonymous konstanz,1603,1600-1699,German,German,original,local:n:konstanz:barlaam-history-josaphat,anonymous-the-history-of-barlaam-and-josaphat-2,The History of Barlaam and Josaphat,bph,,320,320,319,3,100,100.63,64,,,,,,1,0,1,0,1,images_complete,9,theology|mysticism|literature|indic-traditions|sacred-texts|christianity|puranas-epics|south-asia|christian-mysticism-sub,,theology|christian-mysticism|history,bce03f71-c18d-4460-b8ad-224c817f9aa0,2025-06-27 12:24:30.51027+05:30,150,150,46.88,ai,gemini-3-flash-preview,2026-04-06T02:20:34.072Z,2026-04-06T02:20:37.536Z,0,1
0b93ce97-9021-4eb7-9613-41b4ce1193b9,694fe601f844de8615417e21,theatrum-chemicum-vol-iii-1602-zetzner,Theatrum Chemicum Vol. III (1602),Various; ed. Lazarus Zetzner,ed lazarus various zetzner,1659,1600-1699,Latin,Latin,original,local:n:lazarus-various-zetzner:chemicum-iii-theatrum-vol,zetzner-theatrum-chemicum-vol-iii,Theatrum Chemicum Vol. III (1602),internet_archive,https://archive.org/details/BIUSante_pharma_res011287x03,995,995,995,7,100,100.71,67,,,,,,1,,1,0,,images_complete,7,alchemy|shwep|hermetica|medicine|natural-philosophy|spiritual-alchemy|jungs-library,,alchemy|hermeticism,,2025-12-27T13:58:25.628Z,1,1,0.1,batch_api,gemini-2.5-flash,2026-03-04T08:35:00.966Z,2026-03-04T08:35:00.966Z,0,1
31f820f4-d3d8-4a68-a025-40b69230d35f,694fe5f9f844de8615417df6,polygraphie-1561-french-translator,Polygraphy,Johannes Trithemius | Gabriel de Collange (translator),collange de gabriel johannes translator trithemius,1561,1500-1599,French,French,original,local:a:johannes-trithemius:polygraphy,trithemius-polygraphia-2,Polygraphia,internet_archive,https://archive.org/details/polygraphieetvni00trit,650,650,650,6,100,100.93,100,99,,,,,1,,1,0,,images_complete,7,magic|kabbalah|shwep|renaissance-philosophy|forbidden-books|agrippas-world|natural-magic-sympathies,,mathematics|natural-magic,,2025-12-27T13:58:17.569Z,1,1,0.15,batch_api,gemini-2.5-flash,2026-03-05T08:30:17.624Z,2026-03-05T08:30:17.624Z,0,1
4a8d8a33-7bfe-47de-af1a-6febc5287f98,694f4a642bef285222117549,works-of-jacob-behmen-william-law-edition-4-vols-law,"Works of Jacob Behmen (William Law Edition, 4 vols)","Boehme, Jacob",bohme ed jakob law william,1781,1700-1799,English,English,original,local:a:jakob-bohme:behmen-works,boehme-works-of-jacob-behmen,"Works of Jacob Behmen (William Law Edition, 4 vols)",internet_archive,https://archive.org/details/worksofjacobbehm04beohuoft,570,570,570,1,100,100.18,90,,,,,,1,,0,0,,images_complete,9,mysticism|shwep|theology|alchemy|behmenist-underground|spiritual-alchemy|german-speculative-mysticism|jungs-library|christian-mysticism-sub,,christian-mysticism|theosophy|natural-philosophy|spiritual-alchemy,,2025-12-27T02:54:28.060Z,10,10,1.75,ai,gemini-3-flash-preview,2026-03-09T14:15:44.466Z,2026-03-09T14:15:53.288Z,0,1
6836f8ee811c8ab472a49e36,6836f8ee811c8ab472a49e37,two-treatises-on-the-nature-of-elements-on-the-fifth-essence-drebbel,Two Treatises on the Nature of the Elements and the Fifth Essence," Drebbel, Cornelius ",cornelius drebbel,1628,1600-1699,Latin,Latin,original,local:a:cornelius-drebbel:elements-explanation-nature-properties-thorough,laurembergius-tractatus-duo-de-natura-elementorum-et-quinta-essentia,Tractatus duo de natura elementorum et quinta essentia,bph,,69,69,69,0,100,100,75,88,88,color_photo,0,0,1,0,1,0,,images_complete,4,natural-philosophy|alchemy|shwep|spiritual-alchemy,,alchemy|natural-philosophy|elements|quinta-essentia|meteorology|physics|hermeticism|spiritual-alchemy,bce03f71-c18d-4460-b8ad-224c817f9aa0,2025-05-28T11:52:14.604Z,1,1,1.45,ai,gemini-3-flash-preview,2026-03-16T14:32:38.693Z,2026-03-16T14:32:38.693Z,0,1
6867a87bfc518f6dbf33510a,6867a87bfc518f6dbf33510b,supplement-to-astrology-and-detailed-explanation-of-the-nagel,Supplement to Astrology and Detailed Explanation of the Five-Year Prognostic,"Nagel, Paul",nagel paul,1620,1600-1699,German,German,original,local:a:paul-nagel:astrology-complement,nagel-astrologia-suppletoria,Astrologia suppletoria,bph,,56,56,56,8,100,116.67,64,,,,,,1,0,1,0,1,images_complete,3,astrology|secret-societies|hermetica,,astrology|eschatology|prophecy|prediction|rosicrucianism|astronomy|theology|divination,bce03f71-c18d-4460-b8ad-224c817f9aa0,2025-07-04T10:10:03.327Z,87,29,51.79,batch_api,gemini-3-flash-preview,2026-04-05T17:11:48.829Z,2026-04-05T23:10:08.234Z,0,1
6867bf5a009d20a23245ac0d,6867bf5a009d20a23245ac0e,the-book-of-meteors-fourth-book-of-paramirum-on-the-matrix-paracelsus,The Book of Meteors; Fourth Book of Paramirum on the Matrix,"Paracelsus, Theophrastus",paracelsus theophrastus,1566,1500-1599,German,German,original,local:a:paracelsus:book-fourth-matrix-meteors-paramirum,paracelsus-the-book-of-meteors-fourth-book-of-paramirum-on-the-matrix,The Book of Meteors; Fourth Book of Paramirum on the Matrix,bph,,224,224,221,5,100,100.91,77,98,,,,,1,0,1,0,1,images_complete,12,medicine|alchemy|natural-philosophy|hermetica|renaissance-philosophy|shwep|women-of-the-secret-tradition|paracelsian-medicine|paracelsian-hermetica|renaissance-natural-philosophy|jungs-library|spirits-of-the-air,,alchemy|medicine|paracelsian|natural-philosophy|astronomy,bce03f71-c18d-4460-b8ad-224c817f9aa0,2025-07-04T11:47:38.706Z,17,17,7.59,pipeline_preview,gemini-3.1-flash-lite-preview,2026-05-02T22:09:21.899Z,2026-05-02T22:09:39.498Z,0,0
6867c580aadfee9e955eca92,6867c580aadfee9e955eca93,aurora-or-day-spring-the-root-of-philosophy-astrology-and-bohme,"Aurora, or Day-Spring: The Root of Philosophy, Astrology, and Theology","Boehme, Jacob",bohme jacob,1780,1700-1799,German,German,original,local:n:boehme-jacob:astrology-aurora-day-philosophy-root-spring-theology,boehme-aurora-or-day-spring-the-root-of-philosophy-astrology-and-theology,"Aurora, or Day-Spring: The Root of Philosophy, Astrology, and Theology",bph,,448,447,441,8,99.78,100.46,77,95,95,color_photo,0,0,1,0,0,0,1,images_complete,9,mysticism|theology|hermetica|astrology|shwep|german-speculative-mysticism|hermetic-revival|jungs-library|christian-mysticism-sub,,astrology|theology|gnosticism|christian-mysticism|theosophy|natural-philosophy|hermeticism|mysticism,bce03f71-c18d-4460-b8ad-224c817f9aa0,2025-07-04T12:13:52.965Z,24,24,5.36,pipeline_preview,gemini-3.1-flash-lite-preview,2026-05-03T03:12:08.443Z,2026-05-03T03:12:09.062Z,0,0
68d5571a110616ec557a3708,68d5571a110616ec557a3709,eight-books-on-astronomy-maternus,Eight Books on Astrology,Julius Firmicus Maternus,firmicus julius maternus,1533,1500-1599,Latin,Latin,original,astronomicon-libri-viii-maternus,maternus-astronomicon-libri-viii,,bph,,497,497,497,0,100,100,79,71,,,,,1,0,0,0,,images_complete,11,astrology|shwep|classical-philosophy|natural-philosophy|renaissance-philosophy|hermetica|star-science|natural-magic-sympathies|celestial-divination|neoplatonism|renaissance-natural-philosophy,,natural-philosophy|alchemy|hermeticism|neoplatonism|freemasonry|astrology|natural-magic|ritual-magic|mysticism|medicine|gnosticism|divination|renaissance|enlightenment|19th-century-revival|theurgy|prisca-theologia|florentine-platonism,bce03f71-c18d-4460-b8ad-224c817f9aa0,2025-09-25T14:52:10.371Z,268,268,53.92,manual|unknown,manual|gemini-3-flash-preview,2026-03-04T06:09:58.762Z,2026-03-04T08:34:43.839Z,0,1
68fa138e6bd5e42f9c120538,68fa13906bd5e42f9c120539,historical-theological-considerations-of-remarkable-truths-arnold,Historical-Theological Considerations of Remarkable Truths,"Arnold, Gottfried",arnold gottfried,1709,1700-1799,German,German,original,local:a:gottfried-arnold:considerations-historical-remarkable-theological-truths,arnold-historical-theological-considerations-of-remarkable-truths,Historical-Theological Considerations of Remarkable Truths,bph,,719,719,714,7,100,100.28,68,,,,,,1,0,1,0,1,images_complete,3,theology|mysticism|christian-mysticism-sub,,theology|christian-mysticism|history|mysticism,bce03f71-c18d-4460-b8ad-224c817f9aa0,2025-10-23T11:37:50.006Z,5,5,0.7,pipeline_preview,gemini-3.1-flash-lite-preview,2026-05-03T10:04:12.220Z,2026-05-03T10:04:14.286Z,0,0
