page_id,book_id,page_number,position_bucket,words,body_words,unique_words,type_token_ratio,degenerate,script_class,marginalia,page_type_tag,columns_tag,ocr_model,has_translation,n_revisions,is_double_ocr
69d397024e8896250fd674bf,023f2b73-5a9f-4ada-92c2-258a408d89c2,1,1 front,199,198,140,0.7035,0,spaced,0,index,2,gemini-3-flash-preview,1,0,0
69d397024e8896250fd674e7,023f2b73-5a9f-4ada-92c2-258a408d89c2,41,2 early,264,259,174,0.6591,0,spaced,0,text,,gemini-3-flash-preview,1,0,0
69d397024e8896250fd6750f,023f2b73-5a9f-4ada-92c2-258a408d89c2,81,3 middle,296,289,181,0.6115,0,spaced,2,text,,gemini-3-flash-preview,1,0,0
69d397024e8896250fd67537,023f2b73-5a9f-4ada-92c2-258a408d89c2,121,3 middle,278,273,183,0.6583,0,spaced,0,text,,gemini-3-flash-preview,1,0,0
69d397024e8896250fd6755f,023f2b73-5a9f-4ada-92c2-258a408d89c2,161,3 middle,293,287,175,0.5973,0,spaced,1,text,,gemini-3-flash-preview,1,0,0
69d397024e8896250fd67587,023f2b73-5a9f-4ada-92c2-258a408d89c2,201,3 middle,291,285,187,0.6426,0,spaced,1,text,,gemini-3-flash-preview,1,0,0
69d397024e8896250fd675af,023f2b73-5a9f-4ada-92c2-258a408d89c2,241,4 late,240,200,168,0.7,0,spaced,1,text,,gemini-3-flash-preview,1,0,0
69d397024e8896250fd675d7,023f2b73-5a9f-4ada-92c2-258a408d89c2,281,4 late,251,213,170,0.6773,0,spaced,0,text,,gemini-3-flash-preview,1,0,0
68415951f49b0bc64f2e126a,6836f8ee811c8ab472a49e36,1,1 front,72,29,65,,0,spaced,0,title-page,,gemini-3-flash-preview,1,0,0
68415b76f49b0bc64f2e12ba,6836f8ee811c8ab472a49e36,41,3 middle,129,125,112,0.8682,0,spaced,0,text,,gemini-3-flash-preview,1,0,0
69d374bd3bb09d2a15a375b6,6867a87bfc518f6dbf33510a,12,2 early,177,177,126,0.7119,0,spaced,0,text,,gemini-3.1-flash-lite-preview,1,0,0
69d374bd3bb09d2a15a375de,6867a87bfc518f6dbf33510a,52,4 late,25,0,19,,0,spaced,0,blank,,gemini-3.1-flash-lite-preview,1,0,0
6867c253aadfee9e955ec979,6867bf5a009d20a23245ac0d,-77,3 middle,437,434,214,0.4897,0,spaced,0,text,2,gemini-3-flash-preview,1,0,0
