book_id,title,language,read_count,pages_total,ocr_pages,old_model_pages,new_model_pages,translated_pages,needs_reocr,needs_retranslate,old_models,url
6953e2f677f38f6761bea397,"Tantraloka of Abhinavagupta (Complete)",Sanskrit,17,3938,3938,3852,86,3931,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953e2f677f38f6761bea397
6953c87677f38f6761bdcad4,"108 Upanishads with Commentary",Sanskrit,4,3580,3580,3580,0,497,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953c87677f38f6761bdcad4
6952e4bc77f38f6761bc7db1,"Biblia Hebraica: Hebrew Bible with Critical Annotations",Hebrew,5,1766,1766,1766,0,1766,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6952e4bc77f38f6761bc7db1
6953c81977f38f6761bdb67d,"Yoga Sutras with Vyasa Commentary & Vachaspati Gloss",Sanskrit,6,1789,1699,1689,10,1689,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953c81977f38f6761bdb67d
695311a477f38f6761bcc8b8,"Codex Alexandrinus (Greek)",Greek,5,1595,1595,1582,13,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695311a477f38f6761bcc8b8
6953ab7477f38f6761bd729d,"Reg.lat.1278",Latin,2,1118,1118,1110,8,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953ab7477f38f6761bd729d
6953a55277f38f6761bcfb62,"Corpus Byzantinae Vol. 14",Greek,3,1028,1024,1024,0,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953a55277f38f6761bcfb62
69525874ab34727b1f045110,"The True Intellectual System of the Universe",English,3,1003,1003,1001,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/69525874ab34727b1f045110
0b93ce97-9021-4eb7-9613-41b4ce1193b9,"Theatrum Chemicum Vol. III (1602)",Latin,10,995,995,995,0,501,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/0b93ce97-9021-4eb7-9613-41b4ce1193b9
6952e4cc77f38f6761bc8c0b,"Greek New Testament (Tischendorf Critical Edition)",Greek,4,1002,984,974,10,974,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6952e4cc77f38f6761bc8c0b
adefe2d5-88a7-4595-9885-903a93abee51,"Plato: Complete Works (Ficino Translation)",Latin,3,916,916,913,3,500,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/adefe2d5-88a7-4595-9885-903a93abee51
6ff1a28b-f7cd-4fcd-8d08-77d2f7818be1,"Vesalius: De Humani Corporis Fabrica (1555)",Latin,5,898,897,894,3,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6ff1a28b-f7cd-4fcd-8d08-77d2f7818be1
69528a19ab34727b1f04e629,"The Secret Doctrine: Synthesis of Science; Religion and Philosophy Vol. 2",English,3,870,869,860,9,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/69528a19ab34727b1f04e629
695259b3ab34727b1f045d8e,"A Collection of Several Philosophical Writings of Dr. Henry More",English,4,852,848,847,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695259b3ab34727b1f045d8e
6952855fab34727b1f04b383,"Ortus Medicinae (Origin of Medicine)",Latin,2,849,849,847,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6952855fab34727b1f04b383
695575d2f63a757109174bb7,"Harmonie Universelle (Tome II)",French,4,804,804,803,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695575d2f63a757109174bb7
6953eae01479a63c11087e87,"Oeuvres de Descartes Vol. XI (Le Monde)",French,2,804,804,802,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953eae01479a63c11087e87
695575ce57e3b773024f25c2,"Harmonie Universelle (Tome I)",French,1,800,800,800,0,500,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/695575ce57e3b773024f25c2
6953eac21479a63c11087997,"Oeuvres de Descartes Vol. VIII (Principia Philosophiae)",French,3,786,786,785,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953eac21479a63c11087997
6953e52177f38f6761beffa2,"Oeuvres de Descartes Vol. VI (La Géométrie)",French,0,758,758,758,0,500,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953e52177f38f6761beffa2
c62120da-38f1-441a-9f1b-2e698c0c887c,"Turba Philosophorum (1572 Basel)",Latin,1,748,748,746,2,748,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/c62120da-38f1-441a-9f1b-2e698c0c887c
69520c0fab34727b1f043e63,"The Zohar: Book of Genesis",Hebrew,2,732,732,730,2,732,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/69520c0fab34727b1f043e63
25dfd63a-8080-4864-aa79-a0fcb1c76102,"Landino: Dante Commentary (1481 Florence)",Italian,0,748,731,722,9,722,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/25dfd63a-8080-4864-aa79-a0fcb1c76102
59e68f94-49d0-4ed7-a610-b1f53e55b2f8,"Avicenna: Canon Medicinae (c.1280 MS)",Latin,1,718,718,713,5,102,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/59e68f94-49d0-4ed7-a610-b1f53e55b2f8
1a8485e5-5331-41df-bfc1-6efd65238f55,"Magia Naturalis Libri XX (1607)",Latin,1,714,714,713,1,714,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/1a8485e5-5331-41df-bfc1-6efd65238f55
6953eaad1479a63c11087441,"Oeuvres de Descartes Vol. I (Correspondance)",French,0,714,713,712,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953eaad1479a63c11087441
bb7bfc2d-b703-4c8e-8fdf-99040bf4db4b,"Weyer: De Praestigiis Daemonum (1568)",Latin,1,762,709,700,9,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/bb7bfc2d-b703-4c8e-8fdf-99040bf4db4b
69527350ab34727b1f048c2e,"Obeliscus Pamphilius",Latin,0,674,674,670,4,41,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/69527350ab34727b1f048c2e
695258ceab34727b1f0457c2,"Opus Mago-Cabbalisticum et Theosophicum",German,0,666,666,661,5,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695258ceab34727b1f0457c2
31f820f4-d3d8-4a68-a025-40b69230d35f,"Polygraphie (1561 French)",French,3,650,650,650,0,650,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/31f820f4-d3d8-4a68-a025-40b69230d35f
695573a0f63a757109172141,"In Somnium Scipionis libri II; Saturnaliorum libri VII",Latin,0,648,648,647,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695573a0f63a757109172141
6953eab81479a63c1108770c,"Oeuvres de Descartes Vol. VII (Meditationes)",French,0,650,650,645,5,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953eab81479a63c1108770c
