pair_id	stratum	expected_label	a_source	a_title	a_author	a_date	b_source	b_title	b_author	b_date	label	notes
1	hard_multivolume	same_work_different_volume	bsb	Des Herrn Abt Millot, Mitglieds der Academie zu Lyon [et]c. Universalhistorie 	Millot, Claude François Xavier	(1794)	erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
2	positive_related_edition	same_work_different_edition	gallica	Les Essais de Michel seigneur de Montaigne . Edition nouvelle, trouvee apres le 	Montaigne, Michel de (1533-1592). Auteur du texte	1595	gallica	Essais de Michel de Montaigne.... Tome 1	Montaigne, Michel de (1533-1592). Auteur du texte	1783		
3	positive_cross_source	same_manifestation_or_work	bsb	De Concilio, Et Legitime Ivdicandis Controversiis Religionis, Criminvm, Qvae In 	Bucer, Martin	1545	gallica	De Concilio et legitime judicandis controversiis religionis, criminum quae in Ma	Bucer, Martin (1491-1551). Auteur du texte	1545		
4	positive_cross_source	same_manifestation_or_work	erara	Alda Guarini Veronensis	Guarinus	1517	bsb	Alda Gvarini Veronensis	Guarinus	1517		
5	positive_cross_source	same_manifestation_or_work	erara	Mons Carmeli, das ist, Gründliche Beschreibung dess in Spanien, Italien, Franckr	Sphalentianus, Gregorius	1618	bsb	Mons Carmeli, das ist Gründliche Beschreibung deß in Spanien, Italien, Franckrei	Sphalentianus, Gregorius	1618		
6	positive_same_source	same_manifestation	bsb	Ioan. Andr. Schmidii ... Commentarius de vita et scriptis Caspari Sagittarii, 	Schmidt, Johann Andreas	1713	bsb	Ioan. Andr. Schmidii ... Commentarius de vita et scriptis Caspari Sagittarii, 	Schmidt, Johann Andreas	1713		
7	negative_same_author	different_work	bsb	Philomusen verdeutschter Suetonius Uber Die Zwölf Erste Römische Käisere	Suetonius Tranquillus, Gaius	1663	bsb	C. Suetonii Tranquilli XII. Caesares	Suetonius Tranquillus, Gaius	1564		
8	negative_same_author	different_work	erara	Beobachtungen und Untersuchungen über die Genauigkeit barometrischer Höhenmessun	Bauernfeind, Carl Maximilian von	1862	erara	Neue Beobachtungen über die tägliche Periode barometisch bestimmter Höhen	Bauernfeind, Carl Maximilian von	1883		
9	positive_same_source	same_manifestation	bsb	Deo Ter Opt. Max. Duce Ac Praeside Dissertationem De jure connexorum	Fetzer, Magnus	1666	bsb	Deo Ter Opt. Max. Duce Ac Praeside Dissertationem De jure connexorum	Fetzer, Magnus	1666		
10	negative_same_author	different_work	bsb	Meyeri Emblemata, Sive Loca Quaedam Ex Adami Adami, Episcopi Hieropolitani, Et T	Ziegelbauer, Magnoald	Anno MDCCLX.	bsb	Novus rei literariae Ordinis S. Benedicti conspectus : opus elucubratione dignis	Ziegelbauer, Magnoald	1739		
11	negative_same_block	likely_different	erara	O. Steiger s/m l. H. Landolt z. frdl. Er	[s.n.]	1849	erara	Grosse Menagerie : Wegen dem eingetretenen Regenwetter findet sich Herr Charles,	[s.n.]	1847		
12	negative_same_author	different_work	gallica	De ossibus, Ferdinando Balamio siculo interprete ([Reprod.])	Galien, Claude (0131?-0201?). Auteur du texte	1548	gallica	De remediis paratu facilibus liber ([Reprod.])	Galien, Claude (0131?-0201?). Auteur du texte	1543		
13	positive_cross_source	same_manifestation_or_work	erara	Historia De Origine Et Progressv Controuersiae sacramentariae de Coena Domini, a	Lavater, Ludwig	1563	bsb	Historia De Origine Et Progressv Controuersiae Sacramentariae de Coena Domini : 	Lavater, Ludwig	1563		
14	positive_related_edition	same_work_different_edition	bsb	Diss. math. de transpositione aequationum indeque resultantibus earum finibus	Wernher, Johann Balthasar von	1700	bsb	Disp. ... de iuramentorum varietate, eorumque in foro usu	Wernher, Johann Balthasar von	1701		
